District Name,District Number,Staff Type,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Pacific Islander,Multiple Races/Ethnicities,White,Unknown Race/Ethnicity
Bledsoe County,40,All Educators,0.0%,0.0%,0.0%,0.8%,0.0%,0.0%,91.3%,7.9%
Bledsoe County,40,Teachers,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,91.0%,8.0%
Blount County,50,Administrators,0.0%,0.0%,2.7%,2.7%,0.0%,2.7%,91.9%,0.0%
Blount County,50,All Educators,0.1%,0.0%,1.0%,1.6%,0.0%,0.2%,85.6%,11.5%
Blount County,50,Teachers,0.2%,0.0%,0.9%,1.2%,0.0%,0.2%,84.8%,12.7%
Alcoa,51,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,11.1%
Alcoa,51,All Educators,0.0%,0.0%,6.1%,3.0%,0.0%,0.6%,77.6%,12.7%
Alcoa,51,Teachers,0.0%,0.0%,6.7%,3.7%,0.0%,0.7%,74.6%,14.2%
Maryville,52,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.5%,9.5%
Maryville,52,All Educators,0.0%,0.7%,1.4%,1.2%,0.0%,0.0%,86.7%,9.9%
Maryville,52,Teachers,0.0%,0.9%,1.9%,1.5%,0.0%,0.0%,85.8%,9.9%
Bradley County,60,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Bradley County,60,All Educators,0.1%,0.4%,1.0%,0.7%,0.1%,0.0%,87.9%,9.7%
Bradley County,60,Teachers,0.2%,0.5%,1.2%,0.9%,0.2%,0.0%,86.4%,10.6%
Cleveland,61,Administrators,0.0%,0.0%,15.0%,0.0%,10.0%,0.0%,70.0%,5.0%
Cleveland,61,All Educators,0.0%,0.0%,3.1%,3.1%,0.4%,0.4%,85.2%,7.6%
Cleveland,61,Teachers,0.0%,0.0%,2.9%,3.5%,0.0%,0.3%,85.3%,7.9%
Campbell County,70,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,91.3%,8.7%
Campbell County,70,All Educators,0.3%,0.3%,0.0%,0.0%,0.3%,0.3%,89.3%,9.6%
Campbell County,70,Teachers,0.4%,0.0%,0.0%,0.0%,0.4%,0.4%,89.4%,9.5%
Cannon County,80,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.0%,10.0%
Cannon County,80,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,1.4%,91.6%,7.0%
Cannon County,80,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,1.9%,91.5%,6.6%
Carroll County,90,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Carroll County,90,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,11.1%
Carroll County,90,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.5%,12.5%
Hollow Rock - Bruceton,92,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Hollow Rock - Bruceton,92,All Educators,0.0%,1.9%,3.8%,0.0%,0.0%,0.0%,84.9%,9.4%
Hollow Rock - Bruceton,92,Teachers,0.0%,2.3%,4.7%,0.0%,0.0%,0.0%,81.4%,11.6%
Huntingdon,93,Administrators,0.0%,0.0%,16.7%,0.0%,0.0%,0.0%,83.3%,0.0%
Huntingdon,93,All Educators,0.0%,0.0%,2.7%,0.0%,0.0%,0.0%,91.1%,6.2%
Huntingdon,93,Teachers,0.0%,0.0%,2.2%,0.0%,0.0%,0.0%,91.2%,6.6%
McKenzie,94,Administrators,0.0%,0.0%,16.7%,0.0%,0.0%,0.0%,83.3%,0.0%
McKenzie,94,All Educators,0.0%,0.0%,3.1%,2.1%,0.0%,0.0%,89.7%,5.2%
McKenzie,94,Teachers,0.0%,0.0%,2.7%,2.7%,0.0%,0.0%,87.8%,6.8%
South Carroll,95,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
South Carroll,95,All Educators,0.0%,0.0%,0.0%,4.2%,0.0%,0.0%,95.8%,0.0%
South Carroll,95,Teachers,0.0%,0.0%,0.0%,5.0%,0.0%,0.0%,95.0%,0.0%
West Carroll Sp Dist,97,Administrators,0.0%,0.0%,25.0%,0.0%,0.0%,0.0%,50.0%,25.0%
West Carroll Sp Dist,97,All Educators,0.0%,0.0%,5.2%,0.0%,0.0%,0.0%,87.0%,7.8%
West Carroll Sp Dist,97,Teachers,0.0%,0.0%,3.1%,0.0%,0.0%,0.0%,90.6%,6.2%
Carter County,100,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Carter County,100,All Educators,0.0%,0.0%,0.0%,0.2%,0.0%,0.0%,89.6%,10.1%
Carter County,100,Teachers,0.0%,0.0%,0.0%,0.3%,0.0%,0.0%,89.6%,10.1%
Elizabethton,101,Administrators,0.0%,0.0%,0.0%,7.7%,0.0%,0.0%,92.3%,0.0%
Elizabethton,101,All Educators,0.0%,0.4%,0.4%,1.3%,0.4%,0.9%,88.0%,8.5%
Elizabethton,101,Teachers,0.0%,0.5%,0.5%,1.1%,0.5%,1.1%,86.9%,9.3%
Cheatham County,110,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Cheatham County,110,All Educators,0.0%,0.2%,0.5%,0.9%,0.0%,0.5%,87.3%,10.6%
Cheatham County,110,Teachers,0.0%,0.3%,0.6%,1.2%,0.0%,0.6%,85.6%,11.6%
Chester County,120,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Chester County,120,All Educators,0.5%,0.0%,1.5%,0.0%,0.0%,1.0%,91.6%,5.4%
Chester County,120,Teachers,0.6%,0.0%,1.2%,0.0%,0.0%,1.2%,90.7%,6.2%
Claiborne County,130,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Claiborne County,130,All Educators,0.0%,0.0%,0.6%,0.6%,0.0%,0.0%,88.0%,10.8%
Claiborne County,130,Teachers,0.0%,0.0%,0.4%,0.8%,0.0%,0.0%,86.1%,12.7%
Clay County,140,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Clay County,140,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.7%,12.3%
Clay County,140,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,89.7%,10.3%
Cocke County,150,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,78.6%,21.4%
Cocke County,150,All Educators,0.0%,0.0%,0.9%,0.6%,0.0%,0.9%,86.8%,10.7%
Cocke County,150,Teachers,0.0%,0.0%,1.1%,0.4%,0.0%,0.8%,86.6%,11.1%
Newport,151,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,84.2%,15.8%
Newport,151,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,86.7%,13.3%
Coffee County,160,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.0%,8.0%
Coffee County,160,All Educators,0.0%,0.0%,0.3%,0.3%,0.0%,0.6%,90.6%,8.3%
Coffee County,160,Teachers,0.0%,0.0%,0.4%,0.4%,0.0%,0.8%,90.0%,8.5%
Manchester,161,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,14.3%
Manchester,161,All Educators,0.0%,0.8%,0.8%,0.0%,0.0%,0.8%,86.8%,10.9%
Manchester,161,Teachers,0.0%,1.0%,1.0%,0.0%,0.0%,1.0%,85.4%,11.7%
Tullahoma,162,Administrators,0.0%,0.0%,7.7%,0.0%,0.0%,0.0%,84.6%,7.7%
Tullahoma,162,All Educators,0.7%,0.0%,2.6%,0.7%,0.0%,0.7%,88.3%,6.9%
Tullahoma,162,Teachers,1.0%,0.0%,2.4%,1.0%,0.0%,0.0%,87.1%,8.6%
Crockett County,170,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Crockett County,170,All Educators,0.0%,0.7%,4.0%,0.7%,0.0%,0.0%,89.3%,5.4%
Crockett County,170,Teachers,0.0%,0.0%,5.2%,0.9%,0.0%,0.0%,88.7%,5.2%
Alamo,171,Administrators,0.0%,0.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Alamo,171,All Educators,0.0%,0.0%,2.6%,2.6%,0.0%,0.0%,89.7%,5.1%
Alamo,171,Teachers,0.0%,0.0%,0.0%,2.8%,0.0%,0.0%,91.7%,5.6%
Bells,172,All Educators,0.0%,0.0%,3.2%,0.0%,0.0%,0.0%,80.6%,16.1%
Bells,172,Teachers,0.0%,0.0%,3.8%,0.0%,0.0%,0.0%,76.9%,19.2%
Cumberland County,180,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,96.0%,4.0%
Cumberland County,180,All Educators,0.0%,0.2%,0.2%,1.0%,0.0%,0.2%,88.9%,9.5%
Cumberland County,180,Teachers,0.0%,0.2%,0.2%,1.0%,0.0%,0.2%,88.6%,9.7%
Davidson County,190,Administrators,0.3%,0.6%,46.5%,2.9%,0.0%,1.4%,42.5%,5.8%
Davidson County,190,All Educators,0.2%,1.0%,24.1%,3.4%,0.0%,1.3%,60.3%,9.7%
Davidson County,190,Teachers,0.2%,1.0%,20.9%,4.0%,0.0%,1.5%,62.6%,9.8%
Decatur County,200,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,90.0%,10.0%
Decatur County,200,All Educators,0.0%,0.0%,1.6%,1.6%,0.0%,0.0%,88.2%,8.7%
Decatur County,200,Teachers,0.0%,0.0%,2.1%,0.0%,0.0%,0.0%,89.7%,8.2%
DeKalb County,210,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
DeKalb County,210,All Educators,0.0%,0.4%,0.0%,0.4%,0.0%,0.0%,89.6%,9.6%
DeKalb County,210,Teachers,0.0%,0.6%,0.0%,0.6%,0.0%,0.0%,89.9%,8.9%
Dickson County,220,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.8%,6.2%
Dickson County,220,All Educators,0.0%,0.0%,1.7%,1.2%,0.0%,0.8%,88.9%,7.5%
Dickson County,220,Teachers,0.0%,0.0%,1.3%,1.7%,0.0%,0.8%,90.1%,6.1%
Dyer County,230,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.9%,7.1%
Dyer County,230,All Educators,0.4%,0.0%,0.4%,1.1%,0.0%,0.0%,90.4%,7.7%
Dyer County,230,Teachers,0.4%,0.0%,0.4%,1.3%,0.0%,0.0%,90.0%,7.9%
Dyersburg,231,Administrators,0.0%,0.0%,30.0%,0.0%,0.0%,0.0%,70.0%,0.0%
Dyersburg,231,All Educators,0.0%,0.0%,7.8%,1.5%,0.0%,1.5%,81.9%,7.4%
Dyersburg,231,Teachers,0.0%,0.0%,7.2%,1.8%,0.0%,1.2%,81.4%,8.4%
Fayette County,240,Administrators,0.0%,0.0%,73.3%,0.0%,0.0%,0.0%,26.7%,0.0%
Fayette County,240,All Educators,0.0%,0.0%,35.9%,1.3%,0.0%,0.4%,54.7%,7.7%
Fayette County,240,Teachers,0.0%,0.0%,29.4%,1.7%,0.0%,0.6%,58.3%,10.0%
Fentress County,250,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.9%,11.1%
Fentress County,250,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,85.9%,13.5%
Fentress County,250,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,86.4%,12.8%
Franklin County,260,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Franklin County,260,All Educators,0.3%,0.0%,2.0%,0.5%,0.3%,1.0%,84.4%,11.5%
Franklin County,260,Teachers,0.3%,0.0%,2.6%,0.7%,0.3%,1.3%,80.8%,13.9%
Humboldt,271,Administrators,0.0%,0.0%,60.0%,0.0%,0.0%,0.0%,40.0%,0.0%
Humboldt,271,All Educators,0.0%,0.0%,42.9%,1.1%,0.0%,1.1%,48.4%,6.6%
Humboldt,271,Teachers,0.0%,0.0%,38.9%,1.4%,0.0%,1.4%,50.0%,8.3%
Milan,272,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Milan,272,All Educators,0.0%,0.0%,4.9%,0.6%,0.0%,1.2%,92.1%,1.2%
Milan,272,Teachers,0.0%,0.0%,4.0%,0.0%,0.0%,1.6%,92.8%,1.6%
Trenton,273,Administrators,0.0%,0.0%,16.7%,0.0%,0.0%,0.0%,83.3%,0.0%
Trenton,273,All Educators,0.0%,0.0%,3.9%,0.0%,0.0%,0.0%,84.5%,11.7%
Trenton,273,Teachers,0.0%,0.0%,3.7%,0.0%,0.0%,0.0%,85.4%,11.0%
Bradford,274,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Bradford,274,All Educators,0.0%,0.0%,2.0%,0.0%,0.0%,0.0%,90.2%,7.8%
Bradford,274,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,89.7%,10.3%
Gibson Co Sp Dist,275,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.1%,5.9%
Gibson Co Sp Dist,275,All Educators,0.0%,0.0%,0.8%,0.0%,0.0%,0.4%,90.6%,8.3%
Gibson Co Sp Dist,275,Teachers,0.0%,0.0%,0.9%,0.0%,0.0%,0.5%,90.9%,7.7%
Giles County,280,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.8%,6.2%
Giles County,280,All Educators,0.7%,0.0%,1.4%,0.7%,0.0%,0.0%,90.2%,7.0%
Giles County,280,Teachers,0.5%,0.0%,1.8%,0.9%,0.0%,0.0%,91.3%,5.5%
Grainger County,290,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.3%,7.7%
Grainger County,290,All Educators,0.0%,0.0%,0.0%,0.8%,0.0%,0.0%,89.6%,9.6%
Grainger County,290,Teachers,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,87.8%,11.2%
Greene County,300,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,96.2%,3.8%
Greene County,300,All Educators,0.2%,0.0%,0.4%,0.2%,0.0%,0.2%,90.9%,8.0%
Greene County,300,Teachers,0.3%,0.0%,0.5%,0.3%,0.0%,0.3%,90.6%,8.0%
Greeneville,301,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Greeneville,301,All Educators,0.0%,0.0%,1.7%,0.8%,0.0%,0.0%,89.4%,8.1%
Greeneville,301,Teachers,0.0%,0.0%,1.6%,1.1%,0.0%,0.0%,88.8%,8.5%
Grundy County,310,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,85.7%,14.3%
Grundy County,310,All Educators,0.0%,0.0%,0.0%,0.8%,0.0%,0.0%,91.7%,7.6%
Grundy County,310,Teachers,0.0%,0.0%,0.0%,1.0%,0.0%,0.0%,90.9%,8.1%
Hamblen County,320,Administrators,0.0%,0.0%,2.9%,0.0%,0.0%,0.0%,94.3%,2.9%
Hamblen County,320,All Educators,0.0%,0.1%,1.3%,1.1%,0.1%,0.9%,87.2%,9.2%
Hamblen County,320,Teachers,0.0%,0.2%,1.1%,1.3%,0.2%,1.0%,86.6%,9.7%
Hamilton County,330,Administrators,1.0%,1.0%,22.5%,1.5%,0.0%,1.0%,69.5%,3.5%
Hamilton County,330,All Educators,0.1%,0.7%,8.9%,2.5%,0.1%,0.9%,79.1%,7.8%
Hamilton County,330,Teachers,0.0%,0.7%,7.1%,2.7%,0.0%,1.0%,79.8%,8.7%
Hancock County,340,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Hancock County,340,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.2%,6.8%
Hancock County,340,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.6%,7.4%
Hardeman County,350,Administrators,0.0%,0.0%,46.7%,0.0%,0.0%,0.0%,53.3%,0.0%
Hardeman County,350,All Educators,0.0%,0.4%,19.6%,1.1%,0.0%,0.0%,77.7%,1.1%
Hardeman County,350,Teachers,0.0%,0.5%,16.9%,1.4%,0.0%,0.0%,79.8%,1.4%
Hardin County,360,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Hardin County,360,All Educators,0.0%,0.0%,0.4%,1.1%,0.0%,0.7%,91.5%,6.3%
Hardin County,360,Teachers,0.0%,0.0%,0.5%,1.5%,0.0%,1.0%,90.9%,6.1%
Hawkins County,370,Administrators,0.0%,0.0%,4.0%,0.0%,0.0%,0.0%,88.0%,8.0%
Hawkins County,370,All Educators,0.2%,0.2%,0.4%,0.4%,0.0%,0.0%,91.1%,7.8%
Hawkins County,370,Teachers,0.0%,0.0%,0.0%,0.5%,0.0%,0.0%,91.4%,8.1%
Rogersville,371,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Rogersville,371,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.2%,7.8%
Rogersville,371,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,97.4%,2.6%
Haywood County,380,Administrators,0.0%,0.0%,22.2%,0.0%,0.0%,0.0%,77.8%,0.0%
Haywood County,380,All Educators,0.0%,0.0%,23.0%,1.8%,0.0%,0.5%,69.1%,5.5%
Haywood County,380,Teachers,0.0%,0.0%,21.8%,2.4%,0.0%,0.6%,68.8%,6.5%
Henderson County,390,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.9%,7.1%
Henderson County,390,All Educators,0.3%,0.0%,2.3%,0.3%,0.0%,0.3%,91.6%,5.0%
Henderson County,390,Teachers,0.4%,0.0%,1.7%,0.4%,0.0%,0.4%,92.1%,5.0%
Lexington,391,Administrators,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,66.7%,0.0%
Lexington,391,All Educators,0.0%,0.0%,4.3%,1.4%,0.0%,0.0%,84.3%,10.0%
Lexington,391,Teachers,0.0%,0.0%,3.7%,1.9%,0.0%,0.0%,87.0%,7.4%
Henry County,400,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,91.7%,8.3%
Henry County,400,All Educators,0.0%,0.4%,2.2%,0.0%,0.4%,0.4%,90.4%,6.1%
Henry County,400,Teachers,0.0%,0.5%,2.7%,0.0%,0.5%,0.5%,89.6%,6.0%
Paris,401,Administrators,0.0%,0.0%,14.3%,0.0%,0.0%,0.0%,85.7%,0.0%
Paris,401,All Educators,0.0%,0.0%,2.3%,0.0%,0.0%,0.8%,93.0%,3.9%
Paris,401,Teachers,0.0%,0.0%,1.1%,0.0%,0.0%,1.1%,93.7%,4.2%
Hickman County,410,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,93.8%,6.2%
Hickman County,410,All Educators,0.7%,0.4%,0.7%,0.7%,0.0%,0.4%,87.4%,9.7%
Hickman County,410,Teachers,1.0%,0.0%,0.5%,1.0%,0.0%,0.5%,88.0%,9.0%
Houston County,420,Administrators,16.7%,0.0%,16.7%,0.0%,0.0%,0.0%,66.7%,0.0%
Houston County,420,All Educators,1.0%,0.0%,1.0%,1.0%,0.0%,0.0%,86.7%,10.2%
Houston County,420,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,87.8%,12.2%
Humphreys County,430,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,92.9%,7.1%
Humphreys County,430,All Educators,0.0%,0.0%,1.5%,1.0%,0.0%,0.0%,87.6%,9.9%
Humphreys County,430,Teachers,0.0%,0.0%,1.3%,0.6%,0.0%,0.0%,89.7%,8.4%
Jackson County,440,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Jackson County,440,All Educators,0.0%,0.0%,0.0%,0.8%,0.0%,0.0%,88.2%,10.9%
Jackson County,440,Teachers,0.0%,0.0%,0.0%,1.1%,0.0%,0.0%,90.0%,8.9%
Jefferson County,450,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,95.8%,4.2%
Jefferson County,450,All Educators,0.0%,0.2%,0.8%,1.0%,0.2%,0.6%,86.8%,10.5%
Jefferson County,450,Teachers,0.0%,0.2%,0.7%,1.0%,0.2%,0.7%,86.0%,11.0%
Johnson County,460,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Johnson County,460,All Educators,0.0%,0.0%,0.0%,0.6%,0.0%,0.6%,93.1%,5.6%
Johnson County,460,Teachers,0.0%,0.0%,0.0%,0.8%,0.0%,0.8%,92.7%,5.7%
Knox County,470,Administrators,0.0%,0.0%,14.6%,1.0%,0.0%,0.0%,78.6%,5.8%
Knox County,470,All Educators,0.1%,0.5%,3.1%,1.8%,0.0%,0.8%,82.6%,11.2%
Knox County,470,Teachers,0.1%,0.5%,2.8%,1.9%,0.0%,0.9%,82.5%,11.3%
Lauderdale County,490,Administrators,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,61.1%,5.6%
Lauderdale County,490,All Educators,0.0%,0.4%,14.5%,0.7%,0.0%,0.7%,78.9%,4.7%
Lauderdale County,490,Teachers,0.0%,0.5%,13.1%,0.9%,0.0%,0.9%,80.5%,4.1%
Lawrence County,500,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Lawrence County,500,All Educators,0.0%,0.0%,0.2%,0.2%,0.0%,0.0%,93.0%,6.6%
Lawrence County,500,Teachers,0.0%,0.0%,0.2%,0.2%,0.0%,0.0%,92.7%,6.8%
Lewis County,510,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Lewis County,510,All Educators,0.0%,0.0%,0.0%,0.0%,0.0%,0.7%,93.7%,5.6%
Lewis County,510,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.7%,5.3%
Lincoln County,520,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Lincoln County,520,All Educators,0.4%,0.7%,2.8%,0.7%,0.4%,0.0%,86.0%,9.1%
Lincoln County,520,Teachers,0.4%,0.9%,2.2%,0.4%,0.4%,0.0%,85.3%,10.3%
Fayetteville,521,Administrators,0.0%,0.0%,28.6%,0.0%,0.0%,0.0%,71.4%,0.0%
Fayetteville,521,All Educators,1.0%,0.0%,7.3%,1.0%,0.0%,0.0%,77.1%,13.5%
Fayetteville,521,Teachers,1.4%,0.0%,4.3%,1.4%,0.0%,0.0%,79.7%,13.0%
Loudon County,530,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,94.7%,5.3%
Loudon County,530,All Educators,0.0%,0.3%,0.8%,0.8%,0.0%,0.8%,87.1%,10.3%
Loudon County,530,Teachers,0.0%,0.3%,0.7%,0.7%,0.0%,1.0%,86.4%,10.8%
Lenoir City,531,Administrators,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,66.7%,22.2%
Lenoir City,531,All Educators,0.0%,0.6%,0.0%,2.9%,0.0%,0.6%,83.9%,12.1%
Lenoir City,531,Teachers,0.0%,0.8%,0.0%,3.0%,0.0%,0.0%,84.8%,11.4%
McMinn County,540,Administrators,0.0%,0.0%,5.3%,0.0%,0.0%,0.0%,94.7%,0.0%
McMinn County,540,All Educators,0.0%,0.3%,1.8%,0.8%,0.0%,0.3%,91.7%,5.2%
McMinn County,540,Teachers,0.0%,0.3%,1.3%,1.0%,0.0%,0.3%,90.7%,6.3%
Athens,541,Administrators,0.0%,0.0%,20.0%,0.0%,0.0%,0.0%,80.0%,0.0%
Athens,541,All Educators,0.0%,0.0%,4.6%,1.5%,0.0%,0.0%,86.9%,6.9%
Athens,541,Teachers,0.0%,0.0%,3.2%,1.1%,0.0%,0.0%,89.5%,6.3%
Etowah,542,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Etowah,542,All Educators,0.0%,4.0%,0.0%,0.0%,0.0%,4.0%,80.0%,12.0%
Etowah,542,Teachers,0.0%,0.0%,0.0%,0.0%,0.0%,5.6%,77.8%,16.7%
McNairy County,550,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,88.2%,11.8%
McNairy County,550,All Educators,0.3%,0.0%,1.5%,0.3%,0.0%,0.3%,86.9%,10.7%
McNairy County,550,Teachers,0.4%,0.0%,1.1%,0.4%,0.0%,0.4%,86.6%,11.2%
Macon County,560,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,0.0%
Macon County,560,All Educators,0.0%,0.0%,0.0%,0.7%,0.0%,0.3%,87.8%,11.2%
Macon County,560,Teachers,0.0%,0.0%,0.0%,0.8%,0.0%,0.4%,86.8%,11.9%
Madison County,570,Administrators,0.0%,0.0%,50.8%,0.0%,0.0%,0.0%,47.7%,1.5%
Madison County,570,All Educators,0.1%,0.2%,30.1%,1.2%,0.0%,0.9%,64.2%,3.4%
Madison County,570,Teachers,0.1%,0.3%,27.8%,1.4%,0.0%,0.9%,66.1%,3.4%
Marion County,580,Administrators,0.0%,0.0%,0.0%,0.0%,0.0%,5.9%,88.2%,5.9%
Marion County,580,All Educators,0.0%,0.0%,1.8%,0.0%,0.0%,0.7%,84.2%,13.3%
Marion County,580,Teachers,0.0%,0.0%,1.8%,0.0%,0.0%,0.0%,83.6%,14.6%
