District Name,District Number,Staff Type,American Indian or Alaska Native,Asian,Black or African American,Hispanic or Latino,Native Hawaiian or Pacific Islander,Multiple Races/Ethnicities,White,Unknown Race/Ethnicity
Maryville,52,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,1.80%,1.80%,Fewer than 5 Educators,Fewer than 5 Educators,89.19%,6.91%
Bradley County,60,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,97.06%,Fewer than 5 Educators
Bradley County,60,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,1.00%,1.13%,Fewer than 5 Educators,Fewer than 5 Educators,85.86%,11.39%
Bradley County,60,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,1.28%,1.28%,Fewer than 5 Educators,Fewer than 5 Educators,84.66%,11.98%
Cleveland,61,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,80.00%,Fewer than 5 Educators
Cleveland,61,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,3.24%,3.44%,Fewer than 5 Educators,Fewer than 5 Educators,83.60%,8.10%
Cleveland,61,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,3.55%,3.55%,Fewer than 5 Educators,Fewer than 5 Educators,83.61%,8.47%
Campbell County,70,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,95.83%,Fewer than 5 Educators
Campbell County,70,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.49%,7.97%
Campbell County,70,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.13%,8.22%
Cannon County,80,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.00%,Fewer than 5 Educators
Cannon County,80,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.28%,6.71%
Cannon County,80,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.99%,6.31%
Carroll County,90,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Carroll County,90,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.89%,Fewer than 5 Educators
Carroll County,90,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.50%,Fewer than 5 Educators
Hollow Rock - Bruceton,92,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Hollow Rock - Bruceton,92,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.58%,Fewer than 5 Educators
Hollow Rock - Bruceton,92,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.49%,Fewer than 5 Educators
Huntingdon Special School District,93,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Huntingdon Special School District,93,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.37%,5.08%
Huntingdon Special School District,93,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.63%,5.26%
McKenzie,94,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.33%,Fewer than 5 Educators
McKenzie,94,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.11%,4.95%
McKenzie,94,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.46%,Fewer than 5 Educators
South Carroll,95,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
South Carroll,95,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.50%,Fewer than 5 Educators
South Carroll,95,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.71%,Fewer than 5 Educators
West Carroll Sp Dist,97,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
West Carroll Sp Dist,97,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,93.06%,Fewer than 5 Educators
West Carroll Sp Dist,97,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,93.33%,Fewer than 5 Educators
Carter County,100,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Carter County,100,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.14%,9.01%
Carter County,100,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.96%,8.96%
Elizabethton,101,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.62%,Fewer than 5 Educators
Elizabethton,101,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.22%,8.19%
Elizabethton,101,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.52%,8.74%
Cheatham County,110,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Cheatham County,110,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.29%,Fewer than 5 Educators,Fewer than 5 Educators,84.86%,11.47%
Cheatham County,110,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.69%,Fewer than 5 Educators,Fewer than 5 Educators,82.69%,12.84%
Chester County,120,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Chester County,120,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.41%,5.05%
Chester County,120,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.74%,5.56%
Claiborne County,130,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Claiborne County,130,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.39%,9.39%
Claiborne County,130,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.95%,10.44%
Clay County,140,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Clay County,140,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.61%,11.39%
Clay County,140,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.16%,9.84%
Cocke County,150,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,80.00%,Fewer than 5 Educators
Cocke County,150,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,1.52%,85.98%,10.67%
Cocke County,150,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.55%,10.18%
Newport,151,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Newport,151,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.21%,15.79%
Newport,151,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.11%,14.89%
Coffee County,160,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.59%,Fewer than 5 Educators
Coffee County,160,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.72%,8.33%
Coffee County,160,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,89.18%,8.21%
Manchester,161,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Manchester,161,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.11%,12.06%
Manchester,161,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.11%,13.08%
Tullahoma,162,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.67%,Fewer than 5 Educators
Tullahoma,162,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.43%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,88.54%,6.25%
Tullahoma,162,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,2.29%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,87.61%,6.88%
Crockett County,170,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Crockett County,170,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.57%,5.66%
Crockett County,170,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.16%,5.74%
Alamo,171,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Alamo,171,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.91%,Fewer than 5 Educators
Alamo,171,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.11%,Fewer than 5 Educators
Bells,172,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Bells,172,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,81.82%,15.15%
Bells,172,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,81.48%,Fewer than 5 Educators
Cumberland County,180,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,96.30%,Fewer than 5 Educators
Cumberland County,180,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,0.98%,Fewer than 5 Educators,Fewer than 5 Educators,89.37%,9.25%
Cumberland County,180,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,1.18%,Fewer than 5 Educators,Fewer than 5 Educators,89.18%,9.18%
Davidson County,190,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,47.37%,2.89%,Fewer than 5 Educators,1.32%,42.11%,5.26%
Davidson County,190,All Educators,0.18%,0.97%,26.99%,3.96%,Fewer than 5 Educators,1.45%,57.11%,9.27%
Davidson County,190,Teachers,0.21%,1.05%,24.24%,4.62%,Fewer than 5 Educators,1.78%,58.58%,9.45%
Decatur County,200,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Decatur County,200,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,85.60%,9.60%
Decatur County,200,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,86.46%,9.38%
DeKalb County,210,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
DeKalb County,210,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.56%,8.58%
DeKalb County,210,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.11%,7.78%
Dickson County,220,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,96.67%,Fewer than 5 Educators
Dickson County,220,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.12%,1.52%,Fewer than 5 Educators,1.06%,87.58%,7.73%
Dickson County,220,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,1.66%,2.08%,Fewer than 5 Educators,1.25%,88.36%,6.65%
Dyer County,230,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.31%,Fewer than 5 Educators
Dyer County,230,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.51%,6.27%
Dyer County,230,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,90.95%,6.47%
Dyersburg,231,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,60.00%,Fewer than 5 Educators
Dyersburg,231,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,6.73%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.65%,7.69%
Dyersburg,231,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,6.71%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.15%,7.93%
Fayette County Public Schools,240,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,76.92%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Fayette County Public Schools,240,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,44.50%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,44.02%,8.13%
Fayette County Public Schools,240,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,41.42%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,44.97%,9.47%
Fentress County,250,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,80.00%,Fewer than 5 Educators
Fentress County,250,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.73%,15.06%
Fentress County,250,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.00%,14.40%
Franklin County,260,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,94.74%,Fewer than 5 Educators
Franklin County,260,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,2.84%,Fewer than 5 Educators,Fewer than 5 Educators,1.55%,83.51%,10.82%
Franklin County,260,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,3.46%,Fewer than 5 Educators,Fewer than 5 Educators,1.57%,80.82%,12.58%
Humboldt City Schools,271,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Humboldt City Schools,271,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,42.70%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,47.19%,6.74%
Humboldt City Schools,271,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,41.67%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,47.22%,6.94%
Milan,272,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,100.00%,Fewer than 5 Educators
Milan,272,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,5.77%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.67%,Fewer than 5 Educators
Milan,272,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,5.04%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.60%,Fewer than 5 Educators
Trenton,273,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.33%,Fewer than 5 Educators
Trenton,273,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,5.83%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,83.50%,10.68%
Trenton,273,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,5.88%,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,84.71%,9.41%
Bradford,274,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators
Bradford,274,All Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,91.49%,Fewer than 5 Educators
Bradford,274,Teachers,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,92.11%,Fewer than 5 Educators
Gibson Co Sp Dist,275,Administrators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,Fewer than 5 Educators,94.44%,Fewer than 5 Educators
